id,Name,Height(m),Weight{kg},HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Type_1,Type_2,Is_Legendary,Is_Mythical,Egg_Group_1,Egg_Group_2,Generation,Capture_Rate,Base_Happiness,Is_Baby,Egg_Cycles,Past_Type,Is_Pseudo_Legendary,Total_Stats
14,Kakuna,0.6,10,45,25,50,25,25,35,Bug,Poison,FALSE,FALSE,Bug,,Gen-1,120,70,FALSE,15,,FALSE,205
15,Beedrill,1,29.5,65,90,40,45,80,75,Bug,Poison,FALSE,FALSE,Bug,,Gen-1,45,70,FALSE,15,,FALSE,395
16,Pidgey,0.3,1.8,40,45,40,35,35,56,Normal,Flying,FALSE,FALSE,Flying,,Gen-1,255,70,FALSE,15,,FALSE,251
17,Pidgeotto,1.1,30,63,60,55,50,50,71,Normal,Flying,FALSE,FALSE,Flying,,Gen-1,120,70,FALSE,15,,FALSE,349
18,Pidgeot,1.5,39.5,83,80,75,70,70,101,Normal,Flying,FALSE,FALSE,Flying,,Gen-1,45,70,FALSE,15,,FALSE,479
19,Rattata,0.3,3.5,30,56,35,25,35,72,Normal,,FALSE,FALSE,Ground,,Gen-1,255,70,FALSE,15,,FALSE,253
20,Raticate,0.7,18.5,55,81,60,50,70,97,Normal,,FALSE,FALSE,Ground,,Gen-1,127,70,FALSE,15,,FALSE,413
21,Spearow,0.3,2,40,60,30,31,31,70,Normal,Flying,FALSE,FALSE,Flying,,Gen-1,255,70,FALSE,15,,FALSE,262
22,Fearow,1.2,38,65,90,65,61,61,100,Normal,Flying,FALSE,FALSE,Flying,,Gen-1,90,70,FALSE,15,,FALSE,442
23,Ekans,2,6.9,35,60,44,40,54,55,Poison,,FALSE,FALSE,Ground,Dragon,Gen-1,255,70,FALSE,20,,FALSE,288
24,Arbok,3.5,65,60,95,69,65,79,80,Poison,,FALSE,FALSE,Ground,Dragon,Gen-1,90,70,FALSE,20,,FALSE,448
25,Pikachu,0.4,6,35,55,40,50,50,90,Electric,,FALSE,FALSE,Ground,Fairy,Gen-1,190,70,FALSE,10,,FALSE,320
26,Raichu,0.8,30,60,90,55,90,80,110,Electric,,FALSE,FALSE,Ground,Fairy,Gen-1,75,70,FALSE,10,,FALSE,485
27,Sandshrew,0.6,12,50,75,85,20,30,40,Ground,,FALSE,FALSE,Ground,,Gen-1,255,70,FALSE,20,,FALSE,300
28,Sandslash,1,29.5,75,100,110,45,55,65,Ground,,FALSE,FALSE,Ground,,Gen-1,90,70,FALSE,20,,FALSE,450
29,Nidoran-f,0.4,7,55,47,52,40,40,41,Poison,,FALSE,FALSE,Monster,Ground,Gen-1,235,70,FALSE,20,,FALSE,275
30,Nidorina,0.8,20,70,62,67,55,55,56,Poison,,FALSE,FALSE,No-eggs,,Gen-1,120,70,FALSE,20,,FALSE,365
31,Nidoqueen,1.3,60,90,92,87,75,85,76,Poison,Ground,FALSE,FALSE,No-eggs,,Gen-1,45,70,FALSE,20,,FALSE,505
32,Nidoran-m,0.5,9,46,57,40,40,40,50,Poison,,FALSE,FALSE,Monster,Ground,Gen-1,235,70,FALSE,20,,FALSE,273
33,Nidorino,0.9,19.5,61,72,57,55,55,65,Poison,,FALSE,FALSE,Monster,Ground,Gen-1,120,70,FALSE,20,,FALSE,365
34,Nidoking,1.4,62,81,102,77,85,75,85,Poison,Ground,FALSE,FALSE,Monster,Ground,Gen-1,45,70,FALSE,20,,FALSE,505
35,Clefairy,0.6,7.5,70,45,48,60,65,35,Fairy,,FALSE,FALSE,Fairy,,Gen-1,150,140,FALSE,10,Normal,FALSE,323
36,Clefable,1.3,40,95,70,73,95,90,60,Fairy,,FALSE,FALSE,Fairy,,Gen-1,25,140,FALSE,10,Normal,FALSE,483
37,Vulpix,0.6,9.9,38,41,40,50,65,65,Fire,,FALSE,FALSE,Ground,,Gen-1,190,70,FALSE,20,,FALSE,299
38,Ninetales,1.1,19.9,73,76,75,81,100,100,Fire,,FALSE,FALSE,Ground,,Gen-1,75,70,FALSE,20,,FALSE,505
39,Jigglypuff,0.5,5.5,115,45,20,45,25,20,Normal,Fairy,FALSE,FALSE,Fairy,,Gen-1,170,70,FALSE,10,Normal,FALSE,270
40,Wigglytuff,1,12,140,70,45,85,50,45,Normal,Fairy,FALSE,FALSE,Fairy,,Gen-1,50,70,FALSE,10,Normal,FALSE,435
41,Zubat,0.8,7.5,40,45,35,30,40,55,Poison,Flying,FALSE,FALSE,Flying,,Gen-1,255,70,FALSE,15,,FALSE,245
42,Golbat,1.6,55,75,80,70,65,75,90,Poison,Flying,FALSE,FALSE,Flying,,Gen-1,90,70,FALSE,15,,FALSE,455
43,Oddish,0.5,5.4,45,50,55,75,65,30,Grass,Poison,FALSE,FALSE,Plant,,Gen-1,255,70,FALSE,20,,FALSE,320
44,Gloom,0.8,8.6,60,65,70,85,75,40,Grass,Poison,FALSE,FALSE,Plant,,Gen-1,120,70,FALSE,20,,FALSE,395
45,Vileplume,1.2,18.6,75,80,85,110,90,50,Grass,Poison,FALSE,FALSE,Plant,,Gen-1,45,70,FALSE,20,,FALSE,490
46,Paras,0.3,5.4,35,70,55,45,55,25,Bug,Grass,FALSE,FALSE,Bug,Plant,Gen-1,190,70,FALSE,20,,FALSE,285
47,Parasect,1,29.5,60,95,80,60,80,30,Bug,Grass,FALSE,FALSE,Bug,Plant,Gen-1,75,70,FALSE,20,,FALSE,405
48,Venonat,1,30,60,55,50,40,55,45,Bug,Poison,FALSE,FALSE,Bug,,Gen-1,190,70,FALSE,20,,FALSE,305
49,Venomoth,1.5,12.5,70,65,60,90,75,90,Bug,Poison,FALSE,FALSE,Bug,,Gen-1,75,70,FALSE,20,,FALSE,450
50,Diglett,0.2,0.8,10,55,25,35,45,95,Ground,,FALSE,FALSE,Ground,,Gen-1,255,70,FALSE,20,,FALSE,265
51,Dugtrio,0.7,33.3,35,100,50,50,70,120,Ground,,FALSE,FALSE,Ground,,Gen-1,50,70,FALSE,20,,FALSE,425
52,Meowth,0.4,4.2,40,45,35,40,40,90,Normal,,FALSE,FALSE,Ground,,Gen-1,255,70,FALSE,20,,FALSE,290
53,Persian,1,32,65,70,60,65,65,115,Normal,,FALSE,FALSE,Ground,,Gen-1,90,70,FALSE,20,,FALSE,440
54,Psyduck,0.8,19.6,50,52,48,65,50,55,Water,,FALSE,FALSE,Water1,Ground,Gen-1,190,70,FALSE,20,,FALSE,320
55,Golduck,1.7,76.6,80,82,78,95,80,85,Water,,FALSE,FALSE,Water1,Ground,Gen-1,75,70,FALSE,20,,FALSE,500
56,Mankey,0.5,28,40,80,35,35,45,70,Fighting,,FALSE,FALSE,Ground,,Gen-1,190,70,FALSE,20,,FALSE,305
57,Primeape,1,32,65,105,60,60,70,95,Fighting,,FALSE,FALSE,Ground,,Gen-1,75,70,FALSE,20,,FALSE,455
58,Growlithe,0.7,19,55,70,45,70,50,60,Fire,,FALSE,FALSE,Ground,,Gen-1,190,70,FALSE,20,,FALSE,350
59,Arcanine,1.9,155,90,110,80,100,80,95,Fire,,FALSE,FALSE,Ground,,Gen-1,75,70,FALSE,20,,FALSE,555
60,Poliwag,0.6,12.4,40,50,40,40,40,90,Water,,FALSE,FALSE,Water1,,Gen-1,255,70,FALSE,20,,FALSE,300
61,Poliwhirl,1,20,65,65,65,50,50,90,Water,,FALSE,FALSE,Water1,,Gen-1,120,70,FALSE,20,,FALSE,385
62,Poliwrath,1.3,54,90,95,95,70,90,70,Water,Fighting,FALSE,FALSE,Water1,,Gen-1,45,70,FALSE,20,,FALSE,510
63,Abra,0.9,19.5,25,20,15,105,55,90,Psychic,,FALSE,FALSE,Humanshape,,Gen-1,200,70,FALSE,20,,FALSE,310
64,Kadabra,1.3,56.5,40,35,30,120,70,105,Psychic,,FALSE,FALSE,Humanshape,,Gen-1,100,70,FALSE,20,,FALSE,400
65,Alakazam,1.5,48,55,50,45,135,95,120,Psychic,,FALSE,FALSE,Humanshape,,Gen-1,50,70,FALSE,20,,FALSE,500
66,Machop,0.8,19.5,70,80,50,35,35,35,Fighting,,FALSE,FALSE,Humanshape,,Gen-1,180,70,FALSE,20,,FALSE,305
67,Machoke,1.5,70.5,80,100,70,50,60,45,Fighting,,FALSE,FALSE,Humanshape,,Gen-1,90,70,FALSE,20,,FALSE,405
68,Machamp,1.6,130,90,130,80,65,85,55,Fighting,,FALSE,FALSE,Humanshape,,Gen-1,45,70,FALSE,20,,FALSE,505
69,Bellsprout,0.7,4,50,75,35,70,30,40,Grass,Poison,FALSE,FALSE,Plant,,Gen-1,255,70,FALSE,20,,FALSE,300
70,Weepinbell,1,6.4,65,90,50,85,45,55,Grass,Poison,FALSE,FALSE,Plant,,Gen-1,120,70,FALSE,20,,FALSE,390
71,Victreebel,1.7,15.5,80,105,65,100,70,70,Grass,Poison,FALSE,FALSE,Plant,,Gen-1,45,70,FALSE,20,,FALSE,490
72,Tentacool,0.9,45.5,40,40,35,50,100,70,Water,Poison,FALSE,FALSE,Water3,,Gen-1,190,70,FALSE,20,,FALSE,335
73,Tentacruel,1.6,55,80,70,65,80,120,100,Water,Poison,FALSE,FALSE,Water3,,Gen-1,60,70,FALSE,20,,FALSE,515
74,Geodude,0.4,20,40,80,100,30,30,20,Rock,Ground,FALSE,FALSE,Mineral,,Gen-1,255,70,FALSE,15,,FALSE,300
75,Graveler,1,105,55,95,115,45,45,35,Rock,Ground,FALSE,FALSE,Mineral,,Gen-1,120,70,FALSE,15,,FALSE,390
76,Golem,1.4,300,80,120,130,55,65,45,Rock,Ground,FALSE,FALSE,Mineral,,Gen-1,45,70,FALSE,15,,FALSE,495
77,Ponyta,1,30,50,85,55,65,65,90,Fire,,FALSE,FALSE,Ground,,Gen-1,190,70,FALSE,20,,FALSE,410
78,Rapidash,1.7,95,65,100,70,80,80,105,Fire,,FALSE,FALSE,Ground,,Gen-1,60,70,FALSE,20,,FALSE,500
79,Slowpoke,1.2,36,90,65,65,40,40,15,Water,Psychic,FALSE,FALSE,Monster,Water1,Gen-1,190,70,FALSE,20,,FALSE,315
80,Slowbro,1.6,78.5,95,75,110,100,80,30,Water,Psychic,FALSE,FALSE,Monster,Water1,Gen-1,75,70,FALSE,20,,FALSE,490
81,Magnemite,0.3,6,25,35,70,95,55,45,Electric,Steel,FALSE,FALSE,Mineral,,Gen-1,190,70,FALSE,20,Electric,FALSE,325
82,Magneton,1,60,50,60,95,120,70,70,Electric,Steel,FALSE,FALSE,Mineral,,Gen-1,60,70,FALSE,20,Electric,FALSE,465
83,Farfetchd,0.8,15,52,90,55,58,62,60,Normal,Flying,FALSE,FALSE,Flying,Ground,Gen-1,45,70,FALSE,20,,FALSE,377
84,Doduo,1.4,39.2,35,85,45,35,35,75,Normal,Flying,FALSE,FALSE,Flying,,Gen-1,190,70,FALSE,20,,FALSE,310
85,Dodrio,1.8,85.2,60,110,70,60,60,110,Normal,Flying,FALSE,FALSE,Flying,,Gen-1,45,70,FALSE,20,,FALSE,470
86,Seel,1.1,90,65,45,55,45,70,45,Water,,FALSE,FALSE,Water1,Ground,Gen-1,190,70,FALSE,20,,FALSE,325
87,Dewgong,1.7,120,90,70,80,70,95,70,Water,Ice,FALSE,FALSE,Water1,Ground,Gen-1,75,70,FALSE,20,,FALSE,475
88,Grimer,0.9,30,80,80,50,40,50,25,Poison,,FALSE,FALSE,Indeterminate,,Gen-1,190,70,FALSE,20,,FALSE,325
89,Muk,1.2,30,105,105,75,65,100,50,Poison,,FALSE,FALSE,Indeterminate,,Gen-1,75,70,FALSE,20,,FALSE,500
90,Shellder,0.3,4,30,65,100,45,25,40,Water,,FALSE,FALSE,Water3,,Gen-1,190,70,FALSE,20,,FALSE,305
91,Cloyster,1.5,132.5,50,95,180,85,45,70,Water,Ice,FALSE,FALSE,Water3,,Gen-1,60,70,FALSE,20,,FALSE,525
92,Gastly,1.3,0.1,30,35,30,100,35,80,Ghost,Poison,FALSE,FALSE,Indeterminate,,Gen-1,190,70,FALSE,20,,FALSE,310
93,Haunter,1.6,0.1,45,50,45,115,55,95,Ghost,Poison,FALSE,FALSE,Indeterminate,,Gen-1,90,70,FALSE,20,,FALSE,405
94,Gengar,1.5,40.5,60,65,60,130,75,110,Ghost,Poison,FALSE,FALSE,Indeterminate,,Gen-1,45,70,FALSE,20,,FALSE,500
95,Onix,8.8,210,35,45,160,30,45,70,Rock,Ground,FALSE,FALSE,Mineral,,Gen-1,45,70,FALSE,25,,FALSE,385
96,Drowzee,1,32.4,60,48,45,43,90,42,Psychic,,FALSE,FALSE,Humanshape,,Gen-1,190,70,FALSE,20,,FALSE,328
97,Hypno,1.6,75.6,85,73,70,73,115,67,Psychic,,FALSE,FALSE,Humanshape,,Gen-1,75,70,FALSE,20,,FALSE,483
98,Krabby,0.4,6.5,30,105,90,25,25,50,Water,,FALSE,FALSE,Water3,,Gen-1,225,70,FALSE,20,,FALSE,325
99,Kingler,1.3,60,55,130,115,50,50,75,Water,,FALSE,FALSE,Water3,,Gen-1,60,70,FALSE,20,,FALSE,475
100,Voltorb,0.5,10.4,40,30,50,55,55,100,Electric,,FALSE,FALSE,Mineral,,Gen-1,190,70,FALSE,20,,FALSE,330
101,Electrode,1.2,66.6,60,50,70,80,80,150,Electric,,FALSE,FALSE,Mineral,,Gen-1,60,70,FALSE,20,,FALSE,490
102,Exeggcute,0.4,2.5,60,40,80,60,45,40,Grass,Psychic,FALSE,FALSE,Plant,,Gen-1,90,70,FALSE,20,,FALSE,325
103,Exeggutor,2,120,95,95,85,125,75,55,Grass,Psychic,FALSE,FALSE,Plant,,Gen-1,45,70,FALSE,20,,FALSE,530
104,Cubone,0.4,6.5,50,50,95,40,50,35,Ground,,FALSE,FALSE,Monster,,Gen-1,190,70,FALSE,20,,FALSE,320
105,Marowak,1,45,60,80,110,50,80,45,Ground,,FALSE,FALSE,Monster,,Gen-1,75,70,FALSE,20,,FALSE,425
106,Hitmonlee,1.5,49.8,50,120,53,35,110,87,Fighting,,FALSE,FALSE,Humanshape,,Gen-1,45,70,FALSE,25,,FALSE,455
107,Hitmonchan,1.4,50.2,50,105,79,35,110,76,Fighting,,FALSE,FALSE,Humanshape,,Gen-1,45,70,FALSE,25,,FALSE,455
108,Lickitung,1.2,65.5,90,55,75,60,75,30,Normal,,FALSE,FALSE,Monster,,Gen-1,45,70,FALSE,20,,FALSE,385
109,Koffing,0.6,1,40,65,95,60,45,35,Poison,,FALSE,FALSE,Indeterminate,,Gen-1,190,70,FALSE,20,,FALSE,340
110,Weezing,1.2,9.5,65,90,120,85,70,60,Poison,,FALSE,FALSE,Indeterminate,,Gen-1,60,70,FALSE,20,,FALSE,490
111,Rhyhorn,1,115,80,85,95,30,30,25,Ground,Rock,FALSE,FALSE,Monster,Ground,Gen-1,120,70,FALSE,20,,FALSE,345
112,Rhydon,1.9,120,105,130,120,45,45,40,Ground,Rock,FALSE,FALSE,Monster,Ground,Gen-1,60,70,FALSE,20,,FALSE,485
113,Chansey,1.1,34.6,250,5,5,35,105,50,Normal,,FALSE,FALSE,Fairy,,Gen-1,30,140,FALSE,40,,FALSE,450
114,Tangela,1,35,65,55,115,100,40,60,Grass,,FALSE,FALSE,Plant,,Gen-1,45,70,FALSE,20,,FALSE,435
115,Kangaskhan,2.2,80,105,95,80,40,80,90,Normal,,FALSE,FALSE,Monster,,Gen-1,45,70,FALSE,20,,FALSE,490
116,Horsea,0.4,8,30,40,70,70,25,60,Water,,FALSE,FALSE,Water1,Dragon,Gen-1,225,70,FALSE,20,,FALSE,295
117,Seadra,1.2,25,55,65,95,95,45,85,Water,,FALSE,FALSE,Water1,Dragon,Gen-1,75,70,FALSE,20,,FALSE,440
118,Goldeen,0.6,15,45,67,60,35,50,63,Water,,FALSE,FALSE,Water2,,Gen-1,225,70,FALSE,20,,FALSE,320
119,Seaking,1.3,39,80,92,65,65,80,68,Water,,FALSE,FALSE,Water2,,Gen-1,60,70,FALSE,20,,FALSE,450
120,Staryu,0.8,34.5,30,45,55,70,55,85,Water,,FALSE,FALSE,Water3,,Gen-1,225,70,FALSE,20,,FALSE,340
121,Starmie,1.1,80,60,75,85,100,85,115,Water,Psychic,FALSE,FALSE,Water3,,Gen-1,60,70,FALSE,20,,FALSE,520
122,Mr-mime,1.3,54.5,40,45,65,100,120,90,Psychic,Fairy,FALSE,FALSE,Humanshape,,Gen-1,45,70,FALSE,25,Psychic,FALSE,460
123,Scyther,1.5,56,70,110,80,55,80,105,Bug,Flying,FALSE,FALSE,Bug,,Gen-1,45,70,FALSE,25,,FALSE,500
124,Jynx,1.4,40.6,65,50,35,115,95,95,Ice,Psychic,FALSE,FALSE,Humanshape,,Gen-1,45,70,FALSE,25,,FALSE,455
125,Electabuzz,1.1,30,65,83,57,95,85,105,Electric,,FALSE,FALSE,Humanshape,,Gen-1,45,70,FALSE,25,,FALSE,490
126,Magmar,1.3,44.5,65,95,57,100,85,93,Fire,,FALSE,FALSE,Humanshape,,Gen-1,45,70,FALSE,25,,FALSE,495
127,Pinsir,1.5,55,65,125,100,55,70,85,Bug,,FALSE,FALSE,Bug,,Gen-1,45,70,FALSE,25,,FALSE,500
128,Tauros,1.4,88.4,75,100,95,40,70,110,Normal,,FALSE,FALSE,Ground,,Gen-1,45,70,FALSE,20,,FALSE,490
129,Magikarp,0.9,10,20,10,55,15,20,80,Water,,FALSE,FALSE,Water2,Dragon,Gen-1,255,70,FALSE,5,,FALSE,200
130,Gyarados,6.5,235,95,125,79,60,100,81,Water,Flying,FALSE,FALSE,Water2,Dragon,Gen-1,45,70,FALSE,5,,FALSE,540
131,Lapras,2.5,220,130,85,80,85,95,60,Water,Ice,FALSE,FALSE,Monster,Water1,Gen-1,45,70,FALSE,40,,FALSE,535
132,Ditto,0.3,4,48,48,48,48,48,48,Normal,,FALSE,FALSE,Ditto,,Gen-1,35,70,FALSE,20,,FALSE,288
133,Eevee,0.3,6.5,55,55,50,45,65,55,Normal,,FALSE,FALSE,Ground,,Gen-1,45,70,FALSE,35,,FALSE,325
134,Vaporeon,1,29,130,65,60,110,95,65,Water,,FALSE,FALSE,Ground,,Gen-1,45,70,FALSE,35,,FALSE,525
135,Jolteon,0.8,24.5,65,65,60,110,95,130,Electric,,FALSE,FALSE,Ground,,Gen-1,45,70,FALSE,35,,FALSE,525
136,Flareon,0.9,25,65,130,60,95,110,65,Fire,,FALSE,FALSE,Ground,,Gen-1,45,70,FALSE,35,,FALSE,525
137,Porygon,0.8,36.5,65,60,70,85,75,40,Normal,,FALSE,FALSE,Mineral,,Gen-1,45,70,FALSE,20,,FALSE,395
138,Omanyte,0.4,7.5,35,40,100,90,55,35,Rock,Water,FALSE,FALSE,Water1,Water3,Gen-1,45,70,FALSE,30,,FALSE,355
139,Omastar,1,35,70,60,125,115,70,55,Rock,Water,FALSE,FALSE,Water1,Water3,Gen-1,45,70,FALSE,30,,FALSE,495
140,Kabuto,0.5,11.5,30,80,90,55,45,55,Rock,Water,FALSE,FALSE,Water1,Water3,Gen-1,45,70,FALSE,30,,FALSE,355
141,Kabutops,1.3,40.5,60,115,105,65,70,80,Rock,Water,FALSE,FALSE,Water1,Water3,Gen-1,45,70,FALSE,30,,FALSE,495
142,Aerodactyl,1.8,59,80,105,65,60,75,130,Rock,Flying,FALSE,FALSE,Flying,,Gen-1,45,70,FALSE,35,,FALSE,515
143,Snorlax,2.1,460,160,110,65,65,110,30,Normal,,FALSE,FALSE,Monster,,Gen-1,25,70,FALSE,40,,FALSE,540
144,Articuno,1.7,55.4,90,85,100,95,125,85,Ice,Flying,TRUE,FALSE,No-eggs,,Gen-1,3,35,FALSE,80,,FALSE,580
145,Zapdos,1.6,52.6,90,90,85,125,90,100,Electric,Flying,TRUE,FALSE,No-eggs,,Gen-1,3,35,FALSE,80,,FALSE,580
146,Moltres,2,60,90,100,90,125,85,90,Fire,Flying,TRUE,FALSE,No-eggs,,Gen-1,3,35,FALSE,80,,FALSE,580
147,Dratini,1.8,3.3,41,64,45,50,50,50,Dragon,,FALSE,FALSE,Water1,Dragon,Gen-1,45,35,FALSE,40,,FALSE,300
148,Dragonair,4,16.5,61,84,65,70,70,70,Dragon,,FALSE,FALSE,Water1,Dragon,Gen-1,45,35,FALSE,40,,FALSE,420
149,Dragonite,2.2,210,91,134,95,100,100,80,Dragon,Flying,FALSE,FALSE,Water1,Dragon,Gen-1,45,35,FALSE,40,,TRUE,600
150,Mewtwo,2,122,106,110,90,154,90,130,Psychic,,TRUE,FALSE,No-eggs,,Gen-1,3,0,FALSE,120,,FALSE,680
151,Mew,0.4,4,100,100,100,100,100,100,Psychic,,FALSE,TRUE,No-eggs,,Gen-1,45,100,FALSE,120,,FALSE,600
152,Chikorita,0.9,6.4,45,49,65,49,65,45,Grass,,FALSE,FALSE,Monster,Plant,Gen-2,45,70,FALSE,20,,FALSE,318
153,Bayleef,1.2,15.8,60,62,80,63,80,60,Grass,,FALSE,FALSE,Monster,Plant,Gen-2,45,70,FALSE,20,,FALSE,405
154,Meganium,1.8,100.5,80,82,100,83,100,80,Grass,,FALSE,FALSE,Monster,Plant,Gen-2,45,70,FALSE,20,,FALSE,525
155,Cyndaquil,0.5,7.9,39,52,43,60,50,65,Fire,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,20,,FALSE,309
156,Quilava,0.9,19,58,64,58,80,65,80,Fire,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,20,,FALSE,405
157,Typhlosion,1.7,79.5,78,84,78,109,85,100,Fire,,FALSE,FALSE,Ground,,Gen-2,45,70,FALSE,20,,FALSE,534
158,Totodile,0.6,9.5,50,65,64,44,48,43,Water,,FALSE,FALSE,Monster,Water1,Gen-2,45,70,FALSE,20,,FALSE,314
159,Croconaw,1.1,25,65,80,80,59,63,58,Water,,FALSE,FALSE,Monster,Water1,Gen-2,45,70,FALSE,20,,FALSE,405
160,Feraligatr,2.3,88.8,85,105,100,79,83,78,Water,,FALSE,FALSE,Monster,Water1,Gen-2,45,70,FALSE,20,,FALSE,530
161,Sentret,0.8,6,35,46,34,35,45,20,Normal,,FALSE,FALSE,Ground,,Gen-2,255,70,FALSE,15,,FALSE,215
162,Furret,1.8,32.5,85,76,64,45,55,90,Normal,,FALSE,FALSE,Ground,,Gen-2,90,70,FALSE,15,,FALSE,415
163,Hoothoot,0.7,21.2,60,30,30,36,56,50,Normal,Flying,FALSE,FALSE,Flying,,Gen-2,255,70,FALSE,15,,FALSE,262
164,Noctowl,1.6,40.8,100,50,50,86,96,70,Normal,Flying,FALSE,FALSE,Flying,,Gen-2,90,70,FALSE,15,,FALSE,452
165,Ledyba,1,10.8,40,20,30,40,80,55,Bug,Flying,FALSE,FALSE,Bug,,Gen-2,255,70,FALSE,15,,FALSE,265
166,Ledian,1.4,35.6,55,35,50,55,110,85,Bug,Flying,FALSE,FALSE,Bug,,Gen-2,90,70,FALSE,15,,FALSE,390
167,Spinarak,0.5,8.5,40,60,40,40,40,30,Bug,Poison,FALSE,FALSE,Bug,,Gen-2,255,70,FALSE,15,,FALSE,250
168,Ariados,1.1,33.5,70,90,70,60,70,40,Bug,Poison,FALSE,FALSE,Bug,,Gen-2,90,70,FALSE,15,,FALSE,400
169,Crobat,1.8,75,85,90,80,70,80,130,Poison,Flying,FALSE,FALSE,Flying,,Gen-2,90,70,FALSE,15,,FALSE,535
170,Chinchou,0.5,12,75,38,38,56,56,67,Water,Electric,FALSE,FALSE,Water2,,Gen-2,190,70,FALSE,20,,FALSE,330
171,Lanturn,1.2,22.5,125,58,58,76,76,67,Water,Electric,FALSE,FALSE,Water2,,Gen-2,75,70,FALSE,20,,FALSE,460
172,Pichu,0.3,2,20,40,15,35,35,60,Electric,,FALSE,FALSE,No-eggs,,Gen-2,190,70,TRUE,10,,FALSE,205
173,Cleffa,0.3,3,50,25,28,45,55,15,Fairy,,FALSE,FALSE,No-eggs,,Gen-2,150,140,TRUE,10,Normal,FALSE,218
174,Igglybuff,0.3,1,90,30,15,40,20,15,Normal,Fairy,FALSE,FALSE,No-eggs,,Gen-2,170,70,TRUE,10,Normal,FALSE,210
175,Togepi,0.3,1.5,35,20,65,40,65,20,Fairy,,FALSE,FALSE,No-eggs,,Gen-2,190,70,TRUE,10,Normal,FALSE,245
176,Togetic,0.6,3.2,55,40,85,80,105,40,Fairy,Flying,FALSE,FALSE,Flying,Fairy,Gen-2,75,70,FALSE,10,Normal,FALSE,405
177,Natu,0.2,2,40,50,45,70,45,70,Psychic,Flying,FALSE,FALSE,Flying,,Gen-2,190,70,FALSE,20,,FALSE,320
178,Xatu,1.5,15,65,75,70,95,70,95,Psychic,Flying,FALSE,FALSE,Flying,,Gen-2,75,70,FALSE,20,,FALSE,470
179,Mareep,0.6,7.8,55,40,40,65,45,35,Electric,,FALSE,FALSE,Monster,Ground,Gen-2,235,70,FALSE,20,,FALSE,280
180,Flaaffy,0.8,13.3,70,55,55,80,60,45,Electric,,FALSE,FALSE,Monster,Ground,Gen-2,120,70,FALSE,20,,FALSE,365
181,Ampharos,1.4,61.5,90,75,85,115,90,55,Electric,,FALSE,FALSE,Monster,Ground,Gen-2,45,70,FALSE,20,,FALSE,510
182,Bellossom,0.4,5.8,75,80,95,90,100,50,Grass,,FALSE,FALSE,Plant,,Gen-2,45,70,FALSE,20,,FALSE,490
183,Marill,0.4,8.5,70,20,50,20,50,40,Water,Fairy,FALSE,FALSE,Water1,Fairy,Gen-2,190,70,FALSE,10,Water,FALSE,250
